frame,id,green_x,green_y,red_x,red_y,dx,dy,dist,baseline_deg,baseline_m
3041,1,111.868,204.457,112.746,204.023,0.878,-0.434,0.979,2.9190,0.03805
3042,1,109.599,220.260,110.608,219.799,1.009,-0.461,1.109,3.6406,0.04640
3043,1,113.607,236.341,114.472,235.730,0.865,-0.611,1.059,4.1861,0.05444
3044,1,124.264,250.548,124.702,250.027,0.439,-0.521,0.681,4.4544,0.06249
3045,1,139.551,263.911,139.670,263.303,0.119,-0.608,0.620,4.7780,0.07022
3046,1,165.154,280.392,164.940,279.653,-0.214,-0.739,0.769,5.4424,0.08102
3047,1,185.401,290.225,185.075,289.603,-0.326,-0.621,0.702,6.0064,0.09016
3048,1,213.319,299.335,212.878,298.759,-0.441,-0.576,0.725,6.6998,0.10322
3049,1,233.860,305.659,233.238,305.226,-0.622,-0.433,0.758,7.4690,0.11299
3050,1,261.159,311.189,260.477,310.724,-0.682,-0.465,0.825,8.4340,0.12529
3051,1,286.358,314.622,285.791,314.176,-0.566,-0.446,0.721,9.3846,0.13680
3052,1,298.457,314.438,297.880,313.930,-0.576,-0.508,0.768,9.7324,0.14222
3053,1,329.030,310.010,328.312,309.698,-0.718,-0.312,0.783,10.4609,0.15488
3054,1,345.452,308.533,344.855,308.111,-0.597,-0.422,0.731,11.0570,0.16242
3055,1,359.784,304.150,359.441,303.842,-0.343,-0.308,0.461,11.3153,0.17020
3056,1,374.833,293.771,375.054,293.453,0.221,-0.318,0.387,10.9331,0.18282
3057,1,378.089,283.010,378.339,282.615,0.250,-0.395,0.468,9.7601,0.19262
3058,1,380.124,271.930,380.349,271.616,0.225,-0.314,0.387,8.6454,0.19981
3059,1,382.595,260.895,382.872,260.600,0.276,-0.295,0.405,7.6384,0.20717
3060,1,384.528,251.356,384.782,250.977,0.254,-0.379,0.456,6.7585,0.21494
3061,1,386.423,243.225,386.633,242.830,0.210,-0.395,0.448,6.0313,0.22328
3062,1,388.506,231.447,388.715,231.126,0.210,-0.321,0.384,4.9006,0.23518
3063,1,387.546,225.380,388.037,224.952,0.490,-0.428,0.650,4.2223,0.24166
3064,1,382.164,208.406,382.493,207.955,0.329,-0.451,0.558,3.1310,0.25889
