frame,id,green_x,green_y,red_x,red_y,dx,dy,dist,baseline_deg,baseline_m
1006,0,393.751,139.217,312.094,134.153,-81.658,-5.064,81.814,2.4209,0.00331
1007,0,398.527,138.755,313.883,134.007,-84.644,-4.748,84.777,2.4270,0.00349
1008,0,401.877,138.501,315.590,133.981,-86.287,-4.521,86.405,2.4578,0.00367
1009,0,406.614,139.759,318.267,134.653,-88.347,-5.106,88.494,2.5501,0.00397
1010,0,413.702,136.186,320.889,134.344,-92.814,-1.843,92.832,2.6447,0.00435
1011,0,415.679,139.918,324.799,134.551,-90.880,-5.367,91.038,2.7770,0.00485
1012,0,418.100,139.579,326.407,134.025,-91.693,-5.553,91.861,2.8988,0.00516
1013,0,418.802,138.727,326.734,132.952,-92.069,-5.775,92.250,3.0018,0.00536
1014,0,419.223,139.142,326.991,133.303,-92.232,-5.839,92.417,3.0013,0.00537
1015,0,418.714,139.405,327.141,133.596,-91.574,-5.808,91.758,2.9869,0.00535
1016,0,417.259,138.491,326.258,133.008,-91.000,-5.483,91.165,3.0049,0.00532
1017,0,413.719,138.321,323.747,132.319,-89.972,-6.002,90.172,3.0347,0.00517
1018,0,410.791,137.575,321.966,131.430,-88.825,-6.145,89.037,3.0897,0.00511
1019,0,409.559,138.311,322.720,131.600,-86.839,-6.711,87.098,3.1614,0.00525
1020,0,408.526,139.396,324.323,132.344,-84.203,-7.052,84.498,3.2226,0.00543
1021,0,407.203,138.848,325.042,132.085,-82.161,-6.763,82.439,3.2231,0.00552
1022,0,403.513,138.115,324.376,131.810,-79.137,-6.306,79.387,3.1155,0.00535
1023,0,400.622,137.494,402.437,137.578,1.815,0.084,1.817,0.1187,0.00024
1024,0,394.628,136.704,401.444,137.510,6.815,0.806,6.863,0.2374,0.00046
1025,0,391.890,137.714,402.416,138.443,10.526,0.730,10.551,0.1427,0.00028
1026,0,389.645,138.578,403.751,139.171,14.106,0.594,14.119,0.1312,0.00025
1027,0,385.474,139.647,406.009,140.208,20.535,0.561,20.543,0.4406,0.00084
1028,0,382.032,139.437,406.370,140.022,24.337,0.585,24.344,0.4731,0.00090
1029,0,377.758,137.781,406.070,138.091,28.312,0.311,28.314,0.4862,0.00088
1030,0,371.511,138.512,404.453,139.327,32.942,0.815,32.952,0.3286,0.00054
