frame,id,green_x,green_y,red_x,red_y,dx,dy,dist,baseline_deg,baseline_m
2113,1,140.525,158.901,139.898,159.540,-0.627,0.639,0.896,11.8703,0.18253
2114,1,148.641,159.394,148.299,159.381,-0.342,-0.014,0.342,12.0966,0.16792
2115,1,158.728,163.484,158.521,164.418,-0.207,0.934,0.957,11.7414,0.15388
2116,1,175.095,165.508,175.165,164.738,0.070,-0.770,0.773,11.8171,0.13620
2117,1,189.139,173.118,189.092,174.558,-0.047,1.440,1.441,11.0678,0.11882
2118,1,198.604,172.590,198.950,172.246,0.347,-0.343,0.488,11.4934,0.10651
2119,1,209.248,176.911,209.270,178.128,0.022,1.217,1.217,11.3022,0.09018
2120,1,214.530,177.319,214.960,177.266,0.430,-0.054,0.433,11.5387,0.08234
2121,1,223.703,180.347,224.175,180.949,0.472,0.602,0.765,11.9658,0.06401
2122,1,227.885,180.496,228.290,180.528,0.406,0.032,0.407,12.4982,0.05460
2123,1,234.744,177.515,235.232,177.592,0.488,0.077,0.494,13.2769,0.04460
2124,1,240.561,175.854,241.273,176.066,0.712,0.212,0.743,13.6511,0.03969
2125,1,247.583,173.349,248.121,173.435,0.538,0.086,0.545,14.2967,0.03790
2126,1,254.748,173.656,255.493,174.310,0.746,0.654,0.992,14.5484,0.04102
2127,1,261.600,173.762,262.053,174.408,0.452,0.646,0.789,14.5873,0.04518
2128,1,270.637,174.208,271.564,174.345,0.928,0.136,0.938,14.4545,0.05156
2129,1,278.615,174.406,279.415,174.601,0.800,0.195,0.823,14.3252,0.05741
2130,1,288.115,175.662,289.210,176.201,1.094,0.540,1.220,14.0696,0.06518
2131,1,293.407,175.585,294.193,175.780,0.786,0.195,0.810,14.1861,0.07111
2132,1,298.178,174.157,298.936,174.164,0.758,0.007,0.758,14.3955,0.07720
2133,1,303.652,173.359,304.489,173.392,0.837,0.033,0.838,14.4806,0.08359
2134,1,309.630,173.596,310.711,173.696,1.081,0.099,1.086,14.4037,0.08993
2135,1,316.483,174.574,316.988,174.944,0.505,0.369,0.626,14.2341,0.09610
2136,1,324.530,174.568,325.153,174.391,0.623,-0.177,0.647,0.4942,0.00590
2137,1,330.575,173.500,331.064,173.376,0.489,-0.124,0.505,0.5895,0.01154
2138,1,336.365,170.640,336.689,169.894,0.324,-0.747,0.814,0.8185,0.01657
2139,1,341.809,169.399,342.204,169.226,0.396,-0.173,0.432,1.0661,0.02093
2140,1,346.376,167.743,346.779,167.588,0.404,-0.155,0.432,1.2759,0.02507
2141,1,348.657,166.609,349.545,166.221,0.888,-0.388,0.970,1.2537,0.02911
2142,1,348.928,164.671,349.526,164.369,0.599,-0.302,0.671,0.9764,0.03348
2143,1,348.334,163.096,348.879,162.927,0.545,-0.169,0.570,0.9675,0.03722
2144,1,346.542,161.781,347.143,161.742,0.601,-0.038,0.602,1.1107,0.04007
2145,1,343.436,159.789,343.815,159.656,0.379,-0.133,0.402,1.9295,0.04577
2146,1,342.597,159.502,343.216,159.557,0.619,0.055,0.622,2.2506,0.04899
2147,1,342.134,158.679,342.843,158.739,0.709,0.060,0.711,2.8782,0.05550
2148,1,342.397,157.667,342.945,157.352,0.548,-0.315,0.632,3.1626,0.05890
2149,1,346.454,156.696,347.155,156.657,0.701,-0.038,0.702,3.3103,0.06503
2150,1,349.654,156.600,350.350,156.402,0.697,-0.199,0.724,3.2792,0.06798
2151,1,359.055,155.848,359.928,155.795,0.872,-0.054,0.874,2.8338,0.07333
2152,1,364.527,155.681,365.262,155.488,0.735,-0.194,0.760,2.5963,0.07578
2153,1,376.812,155.308,377.910,154.908,1.098,-0.400,1.169,2.2649,0.07997
2154,1,386.158,154.547,386.795,154.241,0.637,-0.306,0.706,2.3117,0.08240
2155,1,394.861,153.894,395.807,153.805,0.946,-0.089,0.951,2.4486,0.08427
2156,1,403.237,152.637,403.775,152.675,0.539,0.038,0.540,2.7953,0.08541
2157,1,411.377,152.437,412.340,152.187,0.964,-0.250,0.996,3.4174,0.08553
2158,1,417.321,150.815,418.030,150.443,0.709,-0.372,0.801,4.0859,0.08449
2159,1,423.735,150.150,424.143,149.848,0.408,-0.302,0.507,4.8048,0.08208
