frame,id,green_x,green_y,red_x,red_y,dx,dy,dist,baseline_deg,baseline_m
4537,1,337.605,228.268,337.238,227.827,-0.367,-0.441,0.574,2.2297,0.12502
4538,0,278.735,220.777,278.363,220.843,-0.372,0.065,0.378,2.4825,0.12333
4538,1,339.361,227.313,338.961,226.937,-0.400,-0.376,0.549,2.4825,0.12333
4539,0,277.277,218.480,276.824,218.472,-0.453,-0.008,0.454,2.4731,0.12298
4539,1,337.669,224.495,337.402,224.329,-0.267,-0.166,0.314,2.4731,0.12298
4540,0,274.704,218.472,274.254,218.482,-0.450,0.010,0.450,2.2363,0.12422
4540,1,334.891,224.565,334.774,224.373,-0.117,-0.192,0.225,2.2363,0.12422
4541,0,270.859,218.910,270.561,219.068,-0.298,0.158,0.337,1.9290,0.12662
4541,1,331.316,225.334,330.959,225.059,-0.357,-0.275,0.451,1.9290,0.12662
4542,0,269.189,221.634,268.836,221.757,-0.353,0.124,0.374,1.9376,0.13011
4542,1,329.273,227.671,329.030,227.496,-0.243,-0.176,0.300,1.9376,0.13011
4543,0,267.541,223.687,267.017,223.801,-0.523,0.113,0.536,1.9197,0.13245
4543,1,327.420,229.540,327.098,229.356,-0.321,-0.184,0.370,1.9197,0.13245
4544,0,265.400,224.884,264.807,224.911,-0.593,0.027,0.593,1.8196,0.13386
4544,1,325.226,230.546,324.851,230.324,-0.375,-0.222,0.436,1.8196,0.13386
4545,0,259.301,226.585,258.656,226.601,-0.646,0.016,0.646,1.6660,0.13712
4545,1,319.158,231.709,318.663,231.613,-0.495,-0.096,0.505,1.6660,0.13712
4546,0,248.363,227.068,247.784,227.048,-0.579,-0.020,0.579,2.0997,0.14303
4546,1,308.373,231.541,307.794,231.375,-0.580,-0.166,0.603,2.0997,0.14303
4547,0,240.798,225.028,240.295,225.050,-0.503,0.022,0.503,2.7671,0.14728
4547,1,300.794,229.023,300.349,228.842,-0.445,-0.181,0.480,2.7671,0.14728
4548,0,233.561,222.522,232.938,222.469,-0.623,-0.053,0.625,3.6242,0.15157
4548,1,293.569,225.810,293.064,225.756,-0.505,-0.054,0.508,3.6242,0.15157
4549,0,226.042,222.622,225.365,222.828,-0.676,0.206,0.707,4.5477,0.15582
4549,1,286.154,225.890,285.578,225.844,-0.576,-0.046,0.578,4.5477,0.15582
4550,0,212.520,216.562,211.738,216.454,-0.781,-0.109,0.789,5.6390,0.16294
4550,1,272.785,220.510,272.213,220.374,-0.573,-0.136,0.589,5.6390,0.16294
4551,0,204.516,214.609,203.859,214.904,-0.657,0.295,0.720,6.4731,0.16803
4551,1,264.814,219.512,264.469,219.456,-0.345,-0.055,0.349,6.4731,0.16803
4552,0,199.396,213.362,198.783,213.291,-0.614,-0.071,0.618,7.1002,0.17312
4552,1,259.710,218.341,259.417,218.198,-0.293,-0.144,0.326,7.1002,0.17312
4553,0,197.441,211.592,196.772,211.632,-0.669,0.039,0.671,7.3600,0.17569
4553,1,257.752,216.686,257.402,216.689,-0.350,0.003,0.350,7.3600,0.17569
4554,0,193.310,203.305,192.751,203.541,-0.559,0.236,0.607,7.9832,0.18559
4554,1,253.481,208.690,253.195,208.961,-0.286,0.271,0.394,7.9832,0.18559
4555,0,191.968,203.694,191.551,204.066,-0.417,0.373,0.559,8.1549,0.18792
4555,1,252.260,209.362,251.959,209.335,-0.300,-0.027,0.302,8.1549,0.18792
4556,0,187.239,207.503,186.621,207.581,-0.619,0.079,0.624,8.8521,0.19489
4556,1,247.436,211.878,247.011,212.141,-0.425,0.262,0.500,8.8521,0.19489
4557,0,184.522,206.790,183.967,207.088,-0.555,0.298,0.630,9.2264,0.19936
4557,1,244.686,211.271,244.338,211.339,-0.348,0.067,0.355,9.2264,0.19936
4558,0,182.820,207.561,182.279,207.774,-0.541,0.213,0.582,9.4686,0.20371
4558,1,242.816,211.645,242.558,211.835,-0.258,0.191,0.321,9.4686,0.20371
