frame,id,green_x,green_y,red_x,red_y,dx,dy,dist,baseline_deg,baseline_m,dx_m,dy_m,dz_m,green_px
781,1,414.447,194.690,413.293,195.608,-1.154,0.919,1.475,2.4600,0.13099,-0.01648,0.05137,0.11937,92.16
782,0,202.436,192.484,200.241,192.941,-2.194,0.457,2.242,2.5654,0.14782,-0.01817,0.05716,0.13510,126.81
782,1,414.576,198.456,413.519,199.330,-1.057,0.874,1.372,2.5654,0.14782,-0.01817,0.05716,0.13510,87.57
783,0,207.333,192.845,205.058,193.593,-2.276,0.748,2.396,2.5645,0.15686,-0.01926,0.06001,0.14365,123.61
783,1,413.993,198.994,412.943,200.066,-1.051,1.072,1.501,2.5645,0.15686,-0.01926,0.06001,0.14365,85.31
784,0,215.553,191.391,213.527,192.088,-2.026,0.697,2.143,2.7073,0.17624,-0.02168,0.06596,0.16199,117.03
784,1,411.756,198.498,410.807,199.593,-0.949,1.095,1.449,2.7073,0.17624,-0.02168,0.06596,0.16199,80.48
785,0,221.958,191.529,220.024,192.461,-1.934,0.933,2.147,2.8410,0.19158,-0.02338,0.07044,0.17662,112.50
785,1,410.689,198.790,409.534,200.150,-1.155,1.360,1.784,2.8410,0.19158,-0.02338,0.07044,0.17662,77.34
786,0,228.305,193.670,226.441,194.803,-1.864,1.133,2.182,2.8869,0.20744,-0.02510,0.07489,0.19181,108.11
786,1,409.479,200.926,408.461,202.281,-1.018,1.356,1.695,2.8869,0.20744,-0.02510,0.07489,0.19181,74.05
787,0,235.621,190.800,233.876,191.803,-1.746,1.002,2.013,3.3538,0.22380,-0.02643,0.07932,0.20759,103.47
787,1,409.687,198.385,408.794,199.509,-0.892,1.124,1.435,3.3538,0.22380,-0.02643,0.07932,0.20759,71.01
788,0,241.980,190.598,240.277,191.579,-1.703,0.981,1.965,3.5763,0.24097,-0.02744,0.08353,0.22436,99.59
788,1,409.504,197.554,408.231,198.894,-1.273,1.340,1.849,3.5763,0.24097,-0.02744,0.08353,0.22436,68.20
789,0,246.744,189.101,245.086,189.953,-1.658,0.852,1.864,3.9155,0.25900,-0.02831,0.08825,0.24185,95.30
789,1,407.539,196.365,406.348,197.434,-1.191,1.070,1.601,3.9155,0.25900,-0.02831,0.08825,0.24185,65.19
790,0,251.736,184.632,250.104,185.645,-1.632,1.013,1.921,4.4420,0.27780,-0.02899,0.09296,0.26018,91.61
790,1,406.207,191.545,405.014,192.863,-1.193,1.318,1.778,4.4420,0.27780,-0.02899,0.09296,0.26018,62.69
791,0,253.669,184.210,252.044,185.196,-1.624,0.986,1.900,4.4968,0.29095,-0.02925,0.09625,0.27300,89.20
791,1,403.851,190.549,402.769,191.708,-1.082,1.159,1.586,4.4968,0.29095,-0.02925,0.09625,0.27300,60.88
792,0,256.184,179.514,254.610,180.383,-1.574,0.869,1.798,5.1217,0.31853,-0.02986,0.10382,0.29965,84.31
792,1,398.553,185.542,397.366,186.635,-1.187,1.092,1.613,5.1217,0.31853,-0.02986,0.10382,0.29965,57.31
793,0,257.011,177.109,255.446,178.085,-1.565,0.976,1.844,5.5223,0.33998,-0.03032,0.10998,0.32026,81.07
793,1,393.759,183.133,392.548,184.301,-1.211,1.168,1.683,5.5223,0.33998,-0.03032,0.10998,0.32026,54.97
794,0,256.338,174.841,254.624,175.775,-1.714,0.934,1.952,5.9858,0.36182,-0.03074,0.11654,0.34115,77.91
794,1,387.741,181.407,386.420,182.464,-1.321,1.057,1.692,5.9858,0.36182,-0.03074,0.11654,0.34115,52.48
795,0,254.954,171.577,253.345,172.419,-1.609,0.842,1.816,6.6506,0.38341,-0.03122,0.12338,0.36167,75.20
795,1,381.761,178.593,380.339,179.809,-1.422,1.216,1.871,6.6506,0.38341,-0.03122,0.12338,0.36167,50.50
796,0,253.005,171.806,251.148,172.914,-1.857,1.109,2.163,6.9216,0.40475,-0.03166,0.13035,0.38188,72.73
796,1,375.425,179.463,373.662,180.656,-1.764,1.193,2.129,6.9216,0.40475,-0.03166,0.13035,0.38188,48.63
797,0,252.359,171.896,250.377,173.087,-1.982,1.191,2.312,7.1833,0.41859,-0.03183,0.13504,0.39493,71.14
797,1,371.686,180.113,370.128,181.299,-1.559,1.186,1.958,7.1833,0.41859,-0.03183,0.13504,0.39493,47.46
798,0,250.828,173.237,249.256,174.229,-1.572,0.993,1.859,7.3525,0.43908,-0.03193,0.14152,0.41442,68.83
798,1,366.646,181.314,365.145,182.418,-1.500,1.103,1.862,7.3525,0.43908,-0.03193,0.14152,0.41442,45.69
799,0,250.488,173.643,248.649,174.829,-1.839,1.186,2.188,7.3503,0.45277,-0.03170,0.14522,0.42768,67.38
799,1,363.607,181.366,362.118,182.442,-1.488,1.076,1.837,7.3503,0.45277,-0.03170,0.14522,0.42768,44.75
800,0,249.654,174.263,248.010,175.295,-1.644,1.031,1.940,7.3233,0.47341,-0.03075,0.15018,0.44790,65.27
800,1,359.503,180.525,358.014,181.825,-1.490,1.300,1.977,7.3233,0.47341,-0.03075,0.15018,0.44790,43.32
801,0,249.231,174.582,247.420,175.798,-1.812,1.217,2.182,7.2481,0.49402,-0.02888,0.15450,0.46835,63.34
801,1,355.679,179.724,354.140,181.162,-1.539,1.438,2.106,7.2481,0.49402,-0.02888,0.15450,0.46835,41.95
802,0,246.687,174.884,245.105,176.226,-1.581,1.341,2.074,7.2504,0.51480,-0.02681,0.15885,0.48895,61.49
802,1,350.244,179.383,348.758,180.586,-1.486,1.203,1.912,7.2504,0.51480,-0.02681,0.15885,0.48895,40.56
803,0,244.057,175.855,242.508,177.204,-1.549,1.348,2.054,7.2446,0.53570,-0.02457,0.16321,0.50965,59.83
803,1,344.617,179.555,343.236,180.967,-1.380,1.412,1.975,7.2446,0.53570,-0.02457,0.16321,0.50965,39.49
804,0,242.597,176.965,240.896,178.290,-1.701,1.326,2.157,7.2247,0.55693,-0.02212,0.16770,0.53062,58.19
804,1,340.415,180.293,338.791,181.544,-1.624,1.251,2.050,7.2247,0.55693,-0.02212,0.16770,0.53062,38.24
805,0,237.484,173.625,235.546,175.052,-1.937,1.427,2.406,7.9711,0.58525,-0.02008,0.17495,0.55813,56.06
805,1,331.800,177.713,330.147,179.175,-1.653,1.462,2.207,7.9711,0.58525,-0.02008,0.17495,0.55813,36.75
806,0,233.760,176.589,232.340,177.761,-1.420,1.171,1.841,7.9917,0.61171,-0.01876,0.18144,0.58388,54.31
806,1,325.388,180.498,323.918,181.928,-1.469,1.429,2.050,7.9917,0.61171,-0.01876,0.18144,0.58388,35.58
807,0,234.414,175.577,232.875,176.813,-1.540,1.237,1.975,8.1090,0.62407,-0.01825,0.18401,0.59605,53.48
807,1,324.468,179.449,323.087,180.732,-1.380,1.283,1.885,8.1090,0.62407,-0.01825,0.18401,0.59605,34.89
808,0,234.632,174.628,233.293,175.859,-1.339,1.231,1.819,8.2110,0.63014,-0.01809,0.18522,0.60203,53.11
808,1,324.005,178.419,322.857,179.645,-1.148,1.226,1.680,8.2110,0.63014,-0.01809,0.18522,0.60203,34.76
809,0,235.682,170.432,234.430,171.509,-1.253,1.077,1.652,8.7129,0.65335,-0.01714,0.19012,0.62484,51.79
809,1,322.736,173.347,321.644,174.628,-1.092,1.281,1.683,8.7129,0.65335,-0.01714,0.19012,0.62484,33.79
810,0,236.350,170.930,234.941,172.415,-1.409,1.485,2.047,8.7126,0.66996,-0.01663,0.19435,0.64093,50.80
810,1,321.635,173.458,320.474,174.895,-1.160,1.437,1.847,8.7126,0.66996,-0.01663,0.19435,0.64093,33.10
811,0,237.538,173.951,236.197,175.346,-1.341,1.395,1.935,8.4714,0.68640,-0.01584,0.19889,0.65676,49.70
811,1,321.139,175.798,320.038,177.430,-1.101,1.632,1.969,8.4714,0.68640,-0.01584,0.19889,0.65676,32.45
812,0,239.488,176.432,238.037,177.756,-1.452,1.324,1.965,8.2280,0.69733,-0.01535,0.20220,0.66720,48.92
812,1,321.735,178.321,320.738,179.698,-0.997,1.377,1.700,8.2280,0.69733,-0.01535,0.20220,0.66720,31.96
813,0,244.179,184.322,242.842,185.603,-1.338,1.281,1.852,7.3613,0.71861,-0.01481,0.20886,0.68743,47.69
813,1,324.535,185.836,323.312,187.317,-1.223,1.481,1.921,7.3613,0.71861,-0.01481,0.20886,0.68743,30.98
814,0,246.473,189.885,245.007,191.335,-1.466,1.450,2.062,6.7660,0.73422,-0.01460,0.21354,0.70233,46.79
814,1,324.955,191.564,323.969,192.886,-0.986,1.322,1.649,6.7660,0.73422,-0.01460,0.21354,0.70233,30.56
815,0,246.705,190.635,245.479,192.034,-1.226,1.400,1.861,6.7865,0.74947,-0.01447,0.21770,0.71701,46.05
815,1,324.396,191.780,323.159,193.304,-1.237,1.524,1.963,6.7865,0.74947,-0.01447,0.21770,0.71701,29.98
816,0,247.271,191.469,245.940,192.743,-1.332,1.274,1.843,6.8247,0.76387,-0.01453,0.22175,0.73083,45.21
816,1,323.543,192.205,322.448,193.614,-1.095,1.410,1.785,6.8247,0.76387,-0.01453,0.22175,0.73083,29.43
817,0,247.532,194.402,246.296,195.642,-1.236,1.240,1.751,6.5883,0.77305,-0.01462,0.22464,0.73955,44.81
817,1,323.054,194.770,322.036,196.311,-1.019,1.541,1.847,6.5883,0.77305,-0.01462,0.22464,0.73955,29.07
818,0,249.285,200.214,247.944,201.414,-1.341,1.199,1.799,6.0693,0.79097,-0.01497,0.23073,0.75643,43.91
818,1,323.343,200.564,322.205,201.934,-1.138,1.370,1.781,6.0693,0.79097,-0.01497,0.23073,0.75643,28.51
819,0,250.729,202.407,249.593,203.651,-1.136,1.244,1.685,5.8254,0.79980,-0.01526,0.23376,0.76473,43.55
819,1,324.222,202.715,323.132,204.223,-1.090,1.508,1.861,5.8254,0.79980,-0.01526,0.23376,0.76473,28.03
820,0,252.792,205.059,251.700,206.353,-1.092,1.294,1.693,5.4966,0.80831,-0.01550,0.23677,0.77270,43.19
820,1,325.533,205.641,324.536,207.051,-0.997,1.410,1.727,5.4966,0.80831,-0.01550,0.23677,0.77270,27.89
821,0,255.504,208.457,254.221,209.668,-1.282,1.212,1.764,5.1622,0.82440,-0.01574,0.24289,0.78765,42.35
821,1,326.747,209.507,325.826,210.659,-0.921,1.153,1.475,5.1622,0.82440,-0.01574,0.24289,0.78765,27.54
822,0,255.533,207.813,254.295,209.219,-1.238,1.407,1.874,5.3298,0.83534,-0.01595,0.24696,0.79785,41.95
822,1,325.999,208.804,325.156,210.199,-0.843,1.395,1.629,5.3298,0.83534,-0.01595,0.24696,0.79785,27.09
823,0,256.244,207.305,255.112,208.496,-1.132,1.192,1.644,5.4851,0.84579,-0.01595,0.25083,0.80758,41.46
823,1,326.169,207.964,325.260,209.424,-0.909,1.460,1.719,5.4851,0.84579,-0.01595,0.25083,0.80758,26.72
824,0,257.609,208.667,256.545,210.088,-1.064,1.420,1.775,5.3464,0.85609,-0.01589,0.25475,0.81715,41.11
824,1,326.781,209.678,325.966,211.016,-0.815,1.338,1.567,5.3464,0.85609,-0.01589,0.25475,0.81715,26.47
825,0,260.659,211.391,259.638,212.638,-1.022,1.247,1.612,5.0149,0.86605,-0.01569,0.25853,0.82641,40.56
825,1,329.334,212.436,328.321,213.677,-1.013,1.241,1.602,5.0149,0.86605,-0.01569,0.25853,0.82641,26.19
826,0,265.453,213.560,264.311,214.884,-1.142,1.324,1.748,4.6823,0.88239,-0.01470,0.26376,0.84191,39.92
826,1,332.649,214.742,331.839,216.159,-0.810,1.417,1.632,4.6823,0.88239,-0.01470,0.26376,0.84191,25.88
827,0,266.601,214.586,265.437,215.815,-1.164,1.228,1.693,4.5686,0.89227,-0.01390,0.26639,0.85147,39.63
827,1,333.288,215.642,332.319,217.124,-0.969,1.483,1.771,4.5686,0.89227,-0.01390,0.26639,0.85147,25.67
828,0,267.229,213.829,266.067,215.266,-1.162,1.437,1.848,4.6270,0.90178,-0.01289,0.26859,0.86075,39.14
828,1,333.306,215.325,332.355,216.600,-0.951,1.276,1.591,4.6270,0.90178,-0.01289,0.26859,0.86075,25.34
829,0,267.534,212.880,266.348,214.226,-1.186,1.346,1.794,4.7407,0.90795,-0.01213,0.26983,0.86684,38.94
829,1,333.212,214.343,332.262,215.563,-0.949,1.220,1.546,4.7407,0.90795,-0.01213,0.26983,0.86684,25.20
830,0,268.214,211.529,267.072,212.900,-1.142,1.371,1.784,4.8777,0.91693,-0.01096,0.27160,0.87572,38.68
830,1,333.510,212.656,332.444,214.164,-1.066,1.509,1.847,4.8777,0.91693,-0.01096,0.27160,0.87572,24.97
831,0,268.652,211.726,267.678,213.207,-0.973,1.481,1.772,4.8234,0.92567,-0.00945,0.27340,0.88432,38.51
831,1,333.571,212.898,332.520,214.390,-1.051,1.492,1.825,4.8234,0.92567,-0.00945,0.27340,0.88432,24.74
832,0,269.137,212.208,267.945,213.466,-1.192,1.258,1.732,4.7816,0.93128,-0.00842,0.27453,0.88986,38.11
832,1,333.500,213.259,332.450,214.613,-1.050,1.354,1.713,4.7816,0.93128,-0.00842,0.27453,0.88986,24.54
833,0,269.952,212.417,268.846,213.656,-1.106,1.239,1.661,4.7240,0.94197,-0.00603,0.27649,0.90046,37.78
833,1,333.653,213.532,332.712,214.809,-0.941,1.277,1.586,4.7240,0.94197,-0.00603,0.27649,0.90046,24.32
834,0,270.619,210.899,269.464,212.280,-1.155,1.381,1.800,4.8626,0.94978,-0.00450,0.27771,0.90826,37.49
834,1,333.855,212.115,332.884,213.439,-0.971,1.323,1.641,4.8626,0.94978,-0.00450,0.27771,0.90826,24.19
835,0,271.599,210.474,270.319,211.599,-1.280,1.126,1.704,4.9168,0.95728,-0.00314,0.27880,0.91578,37.13
835,1,334.495,211.481,333.309,212.710,-1.185,1.229,1.708,4.9168,0.95728,-0.00314,0.27880,0.91578,23.96
836,0,272.528,210.576,271.093,211.680,-1.435,1.104,1.811,4.8952,0.96460,-0.00199,0.28013,0.92302,36.84
836,1,334.679,211.559,333.667,212.726,-1.012,1.166,1.544,4.8952,0.96460,-0.00199,0.28013,0.92302,23.87
837,0,271.629,208.299,270.439,209.423,-1.190,1.124,1.637,5.1766,0.97386,-0.00043,0.28200,0.93214,36.63
837,1,333.580,209.062,332.538,210.340,-1.042,1.278,1.649,5.1766,0.97386,-0.00043,0.28200,0.93214,23.71
838,0,270.755,207.381,269.746,208.558,-1.009,1.177,1.550,5.3035,0.97820,0.00036,0.28324,0.93630,36.40
838,1,332.607,208.102,331.630,209.430,-0.977,1.328,1.649,5.3035,0.97820,0.00036,0.28324,0.93630,23.62
839,0,270.361,207.626,269.030,208.919,-1.331,1.293,1.855,5.3159,0.98645,0.00189,0.28617,0.94403,36.21
839,1,331.570,208.492,330.486,209.811,-1.084,1.318,1.707,5.3159,0.98645,0.00189,0.28617,0.94403,23.39
840,0,270.637,209.327,269.570,210.500,-1.067,1.173,1.586,5.1531,0.99225,0.00315,0.28836,0.94942,36.15
840,1,331.656,210.339,330.698,211.552,-0.958,1.214,1.546,5.1531,0.99225,0.00315,0.28836,0.94942,23.27
841,0,271.518,209.630,270.154,210.951,-1.364,1.320,1.898,5.1275,0.99799,0.00427,0.29032,0.95482,35.88
841,1,331.937,210.637,330.971,212.087,-0.966,1.450,1.743,5.1275,0.99799,0.00427,0.29032,0.95482,23.29
842,0,271.881,210.600,270.600,211.701,-1.281,1.100,1.688,5.0497,1.00329,0.00560,0.29179,0.95990,35.67
842,1,332.383,211.592,331.128,212.892,-1.255,1.300,1.807,5.0497,1.00329,0.00560,0.29179,0.95990,23.09
843,0,272.013,211.413,270.649,212.470,-1.364,1.057,1.725,4.9736,1.00836,0.00690,0.29328,0.96474,35.47
843,1,331.999,212.494,330.909,213.668,-1.090,1.174,1.602,4.9736,1.00836,0.00690,0.29328,0.96474,22.96
844,0,270.730,211.708,269.488,213.031,-1.242,1.323,1.814,4.9247,1.01318,0.00829,0.29476,0.96932,35.50
844,1,330.616,212.754,329.516,214.144,-1.100,1.390,1.773,4.9247,1.01318,0.00829,0.29476,0.96932,22.96
845,0,270.499,212.116,269.168,213.266,-1.330,1.149,1.758,4.9035,1.01468,0.00873,0.29524,0.97074,35.36
845,1,330.335,213.120,329.124,214.352,-1.211,1.232,1.728,4.9035,1.01468,0.00873,0.29524,0.97074,22.73
846,0,270.507,212.710,268.978,213.907,-1.528,1.197,1.941,4.8527,1.01896,0.00990,0.29673,0.97474,35.22
846,1,329.744,213.658,328.718,214.924,-1.026,1.266,1.630,4.8527,1.01896,0.00990,0.29673,0.97474,22.82
847,0,269.988,213.573,268.696,214.545,-1.292,0.973,1.617,4.8055,1.02282,0.01097,0.29821,0.97832,35.03
847,1,329.559,214.469,328.244,215.514,-1.315,1.045,1.679,4.8055,1.02282,0.01097,0.29821,0.97832,22.58
848,0,269.382,215.605,267.889,216.533,-1.494,0.928,1.759,4.5951,1.02674,0.01204,0.29986,0.98190,34.90
848,1,328.413,216.511,327.242,217.543,-1.171,1.032,1.561,4.5951,1.02674,0.01204,0.29986,0.98190,22.54
849,0,269.440,216.693,267.968,217.852,-1.472,1.160,1.874,4.4411,1.02900,0.01253,0.30059,0.98404,34.93
849,1,328.367,217.636,327.200,218.892,-1.167,1.256,1.714,4.4411,1.02900,0.01253,0.30059,0.98404,22.52
850,0,269.624,217.329,268.275,218.291,-1.350,0.962,1.657,4.3818,1.03084,0.01292,0.30092,0.98585,34.88
850,1,328.610,218.291,327.407,219.360,-1.202,1.069,1.609,4.3818,1.03084,0.01292,0.30092,0.98585,22.46
851,0,269.659,217.659,268.123,218.587,-1.536,0.928,1.795,4.3457,1.03209,0.01327,0.30121,0.98707,34.75
851,1,328.445,218.574,327.194,219.663,-1.251,1.088,1.658,4.3457,1.03209,0.01327,0.30121,0.98707,22.41
852,0,269.396,217.835,267.904,219.051,-1.492,1.215,1.924,4.3099,1.03270,0.01343,0.30180,0.98752,34.79
852,1,327.977,218.880,326.948,220.108,-1.029,1.228,1.602,4.3099,1.03270,0.01343,0.30180,0.98752,22.53
853,0,268.854,218.445,267.640,219.482,-1.214,1.037,1.596,4.2725,1.03313,0.01358,0.30222,0.98785,34.76
853,1,327.659,219.445,326.666,220.522,-0.994,1.076,1.465,4.2725,1.03313,0.01358,0.30222,0.98785,22.46
854,0,268.650,219.469,267.327,220.555,-1.323,1.085,1.712,4.1581,1.03365,0.01367,0.30270,0.98823,34.77
