frame,id,green_x,green_y,red_x,red_y,dx,dy,dist,baseline_deg,baseline_m
3781,1,205.085,244.025,203.639,243.791,-1.446,-0.234,1.465,85.7785,0.71052
3782,1,198.799,240.656,196.890,240.787,-1.909,0.131,1.914,85.7098,0.71413
3783,1,194.171,236.833,192.809,237.012,-1.362,0.179,1.373,85.8545,0.71762
3784,1,189.912,232.239,188.708,232.312,-1.204,0.073,1.206,85.8381,0.72013
3785,1,187.688,226.283,186.086,226.125,-1.602,-0.158,1.610,85.9310,0.72226
3786,1,186.800,222.635,185.558,222.211,-1.241,-0.424,1.312,86.1037,0.72344
3803,1,183.988,217.587,182.960,217.504,-1.028,-0.083,1.031,85.8447,0.72314
3804,1,182.941,218.371,181.953,218.594,-0.988,0.223,1.013,84.5724,0.71704
3805,1,183.994,219.451,182.653,219.713,-1.341,0.262,1.366,83.7609,0.71222
3806,1,186.099,224.598,185.737,225.011,-0.362,0.413,0.549,81.7030,0.69903
3807,1,185.370,223.390,183.830,223.642,-1.541,0.252,1.561,79.0355,0.68546
3808,1,188.608,218.429,187.310,217.993,-1.297,-0.435,1.368,76.5371,0.66901
3809,1,192.627,215.518,191.304,215.400,-1.323,-0.118,1.328,73.8205,0.65051
3810,1,192.762,213.364,191.468,212.745,-1.294,-0.618,1.434,70.5879,0.63096
3811,1,186.461,211.810,184.501,213.497,-1.960,1.687,2.586,66.4225,0.61088
3812,1,180.579,201.445,178.603,200.297,-1.976,-1.148,2.286,62.4130,0.59062
3813,1,172.115,206.494,170.087,207.150,-2.028,0.657,2.132,58.1307,0.57000
3814,1,169.633,208.355,166.773,209.112,-2.859,0.758,2.958,54.5297,0.54894
3815,1,177.687,212.772,175.572,212.993,-2.115,0.220,2.127,52.0617,0.52686
3816,1,184.178,217.515,182.425,218.491,-1.754,0.976,2.007,50.4418,0.51156
3817,1,192.551,218.967,191.095,218.357,-1.456,-0.610,1.579,46.7955,0.48155
3818,1,191.446,222.741,188.827,225.406,-2.619,2.665,3.737,43.1143,0.45891
3819,1,189.678,220.281,187.570,219.357,-2.109,-0.924,2.302,39.6850,0.43693
3820,1,184.159,229.355,182.075,230.540,-2.084,1.185,2.398,35.9084,0.41533
3821,1,181.221,226.704,177.960,227.642,-3.262,0.938,3.394,32.5147,0.39406
3822,1,182.372,228.623,180.317,228.436,-2.055,-0.187,2.064,30.1784,0.37351
3823,1,185.706,233.004,183.048,234.958,-2.658,1.954,3.299,28.0280,0.35245
3824,1,192.677,234.212,190.461,234.464,-2.216,0.252,2.230,26.4545,0.33287
3825,1,198.643,233.238,196.003,235.307,-2.640,2.069,3.354,25.4652,0.31952
3826,1,211.339,229.330,209.311,230.756,-2.028,1.426,2.480,23.4905,0.29368
3827,1,215.736,228.911,214.067,228.947,-1.670,0.036,1.670,22.3586,0.28085
3828,1,226.468,225.332,224.616,225.388,-1.852,0.056,1.853,20.1247,0.25444
3829,1,230.787,227.429,229.361,228.138,-1.425,0.709,1.592,19.0779,0.24158
3830,1,237.626,228.793,236.434,229.769,-1.192,0.977,1.541,16.6255,0.21530
3831,1,239.441,228.902,237.893,230.332,-1.549,1.430,2.108,15.1779,0.20245
3832,1,241.484,225.755,239.981,226.783,-1.503,1.028,1.821,12.1347,0.17706
3833,1,242.829,224.174,241.327,224.503,-1.503,0.328,1.538,9.9387,0.15814
3834,1,245.410,225.332,243.951,225.883,-1.460,0.551,1.560,8.0702,0.13974
3835,1,250.128,227.723,248.979,228.239,-1.149,0.516,1.259,6.6061,0.12247
3836,1,254.441,228.802,253.452,229.804,-0.989,1.002,1.408,5.2982,0.10491
3837,1,259.740,229.718,258.541,230.568,-1.199,0.850,1.469,4.2045,0.08814
3838,1,268.144,229.657,268.305,229.319,0.161,-0.338,0.374,1.1610,0.01686
3839,1,280.269,229.734,280.271,230.015,0.002,0.281,0.281,1.8930,0.03273
3840,1,296.173,229.691,296.407,229.378,0.234,-0.314,0.391,2.3390,0.04721
3841,1,313.805,228.639,314.398,227.714,0.594,-0.925,1.099,2.7705,0.06066
3842,1,329.191,227.866,329.662,228.218,0.471,0.352,0.588,3.2871,0.07260
3843,1,345.439,224.991,345.997,224.877,0.559,-0.114,0.570,3.7736,0.08683
3844,1,352.751,222.693,352.920,223.050,0.169,0.357,0.395,4.0357,0.09316
3845,1,368.556,219.261,368.800,218.695,0.245,-0.566,0.616,4.6760,0.10399
3846,1,382.702,216.870,383.583,216.743,0.881,-0.127,0.890,5.5584,0.11189
3847,1,390.574,215.375,391.198,214.816,0.624,-0.558,0.837,6.1559,0.11641
3848,1,397.226,213.341,397.979,212.888,0.753,-0.454,0.879,6.4696,0.11971
3849,1,403.574,209.822,404.187,209.425,0.613,-0.397,0.730,6.6803,0.12288
3850,1,407.543,208.653,408.426,208.613,0.883,-0.040,0.884,6.9567,0.12447
3851,1,409.746,207.540,410.624,206.835,0.878,-0.705,1.126,7.1474,0.12545
3852,1,408.983,206.515,410.132,206.167,1.150,-0.348,1.201,7.1538,0.12597
3853,1,404.381,205.455,405.261,205.012,0.880,-0.443,0.985,7.1310,0.12572
3854,1,399.869,204.742,400.831,204.354,0.962,-0.387,1.037,7.2334,0.12477
3855,1,388.575,203.515,389.217,202.755,0.642,-0.761,0.995,7.2159,0.12171
3856,1,382.438,202.697,382.939,202.352,0.501,-0.344,0.608,6.7481,0.11941
3857,1,377.012,203.177,377.981,203.030,0.969,-0.147,0.980,6.5286,0.11673
3858,1,372.497,202.561,373.473,202.253,0.977,-0.309,1.024,6.6638,0.11416
3859,1,368.056,201.230,369.107,200.999,1.051,-0.230,1.076,6.7246,0.11210
3860,1,365.605,200.248,366.327,199.846,0.722,-0.402,0.827,6.5562,0.11040
3861,1,365.038,199.607,366.057,199.131,1.019,-0.476,1.125,6.5374,0.10930
3862,1,362.548,198.689,363.664,198.277,1.115,-0.412,1.189,6.6360,0.10711
3863,1,360.293,197.912,361.119,197.883,0.826,-0.029,0.826,6.6015,0.10624
3864,1,357.697,196.543,358.565,196.312,0.868,-0.231,0.898,6.4648,0.10529
3865,1,358.723,196.371,359.971,196.370,1.248,-0.001,1.248,6.2936,0.10436
3866,1,359.513,195.801,360.465,195.720,0.951,-0.081,0.955,6.3364,0.10420
3867,1,359.451,195.540,360.266,195.019,0.816,-0.521,0.968,6.4960,0.10435
3868,1,359.591,195.559,360.660,195.345,1.069,-0.214,1.090,6.5191,0.10440
3869,1,359.734,195.426,360.884,195.104,1.150,-0.322,1.194,6.5058,0.10444
3870,1,359.244,194.691,360.111,194.583,0.867,-0.109,0.874,6.4308,0.10447
3871,1,358.637,194.569,359.727,194.314,1.091,-0.255,1.120,6.3868,0.10449
3872,1,359.385,194.279,360.217,194.074,0.832,-0.205,0.857,6.5458,0.10477
3873,1,360.291,193.734,361.141,193.773,0.850,0.038,0.851,6.5970,0.10492
3874,1,360.807,193.324,361.839,193.115,1.032,-0.209,1.053,6.5505,0.10516
3875,1,360.873,192.689,361.928,192.650,1.055,-0.040,1.056,6.4948,0.10541
3876,1,360.844,192.320,361.725,192.002,0.881,-0.319,0.937,6.3961,0.10540
3877,1,361.381,192.431,362.065,192.100,0.684,-0.331,0.760,6.3812,0.10531
3878,1,361.255,192.493,362.128,192.154,0.873,-0.340,0.936,6.4831,0.10520
3879,1,360.932,192.565,361.939,192.143,1.007,-0.422,1.091,6.4744,0.10508
3880,1,361.480,192.768,362.312,192.697,0.832,-0.071,0.835,6.4917,0.10489
3881,1,361.701,192.796,362.825,192.688,1.125,-0.107,1.130,6.5011,0.10491
3882,1,362.022,192.673,363.191,192.807,1.169,0.134,1.177,6.4156,0.10465
3883,1,361.550,192.671,362.530,192.423,0.980,-0.248,1.011,6.4261,0.10436
3884,1,360.447,191.683,361.497,191.242,1.050,-0.442,1.139,6.4670,0.10360
3885,1,359.659,191.962,360.602,191.874,0.942,-0.088,0.946,6.3309,0.10273
3886,1,359.317,192.052,360.297,192.226,0.980,0.175,0.995,6.2226,0.10190
3887,1,358.205,192.572,359.342,192.580,1.138,0.008,1.138,6.1916,0.10111
3888,1,357.374,193.288,358.303,193.173,0.929,-0.115,0.936,6.2327,0.10017
3889,1,357.163,193.651,358.068,193.657,0.906,0.006,0.906,6.2608,0.09928
3890,1,356.883,193.683,358.079,193.750,1.196,0.067,1.198,6.2677,0.09848
3891,1,356.740,193.311,357.546,193.064,0.806,-0.247,0.843,6.1928,0.09779
3892,1,357.433,192.729,358.357,193.217,0.924,0.489,1.046,6.1326,0.09693
3893,1,357.553,191.598,358.508,191.474,0.954,-0.124,0.962,6.2272,0.09618
3894,1,357.887,191.729,359.078,192.099,1.191,0.369,1.247,6.1492,0.09511
3895,1,358.207,191.304,359.124,191.072,0.916,-0.232,0.945,6.2264,0.09335
3896,1,358.320,190.563,359.320,190.557,0.999,-0.006,0.999,6.3559,0.09090
3897,1,358.160,189.313,359.133,188.944,0.972,-0.368,1.040,6.5258,0.08857
3898,1,357.700,187.653,358.781,186.843,1.081,-0.810,1.351,6.9289,0.08473
3899,1,357.259,187.476,358.183,187.832,0.923,0.356,0.990,6.9207,0.08250
3900,1,354.505,185.611,355.426,185.308,0.921,-0.303,0.970,7.3917,0.07731
3901,1,347.801,184.600,348.831,183.597,1.029,-1.003,1.437,7.8417,0.07149
3902,1,342.392,184.430,343.022,184.417,0.630,-0.013,0.630,7.9393,0.06699
3903,1,337.617,180.430,338.151,181.559,0.534,1.130,1.250,8.5686,0.06288
3904,1,336.105,177.846,337.045,177.280,0.940,-0.566,1.097,9.8496,0.05981
3905,1,333.503,176.013,334.119,176.685,0.616,0.672,0.912,10.8567,0.05823
3906,1,329.946,174.533,330.681,171.695,0.735,-2.838,2.932,12.3852,0.05898
3907,1,322.213,178.555,322.487,179.192,0.273,0.637,0.694,13.0812,0.06401
3908,1,317.732,175.709,317.992,177.054,0.260,1.345,1.370,14.0992,0.06845
3909,1,311.396,175.908,311.263,177.103,-0.134,1.196,1.203,16.2273,0.08199
3910,1,305.257,170.333,304.857,168.929,-0.400,-1.403,1.459,19.3363,0.09972
3911,1,301.122,170.157,300.878,171.442,-0.244,1.285,1.308,20.8808,0.11452
3912,1,298.664,160.793,298.405,162.032,-0.260,1.238,1.265,23.7695,0.13072
3913,1,297.440,160.877,297.688,158.863,0.247,-2.015,2.030,26.2241,0.14722
3914,1,292.402,166.486,291.868,169.269,-0.534,2.783,2.834,27.3681,0.16477
3915,1,290.236,159.217,289.200,160.210,-1.036,0.993,1.435,29.6463,0.17676
3916,1,281.412,169.086,281.140,171.583,-0.272,2.497,2.512,31.4965,0.20104
3917,1,274.617,168.757,273.635,172.187,-0.982,3.430,3.568,32.6209,0.21319
3918,1,263.731,163.656,262.488,162.064,-1.242,-1.591,2.019,35.9984,0.23719
3919,1,256.483,173.421,254.941,175.825,-1.543,2.404,2.857,35.8989,0.24888
3920,1,246.529,180.260,245.233,180.089,-1.296,-0.172,1.308,38.0685,0.27268
3921,1,238.485,193.345,237.298,194.219,-1.188,0.874,1.474,38.6868,0.29013
3922,1,228.321,201.019,226.973,203.219,-1.349,2.200,2.580,39.5682,0.30773
3923,1,216.366,204.393,215.379,204.197,-0.988,-0.196,1.007,40.8265,0.32412
3924,1,199.461,214.719,197.615,215.495,-1.846,0.776,2.002,40.7419,0.33991
3925,1,183.504,225.056,181.708,226.374,-1.796,1.318,2.228,40.6649,0.35446
3926,1,173.450,238.594,171.450,238.369,-2.000,-0.225,2.012,40.7398,0.36740
3989,1,249.665,214.588,249.916,214.480,0.250,-0.108,0.273,0.5051,0.00853
3990,1,253.332,214.582,253.197,214.304,-0.135,-0.278,0.309,1.5552,0.01751
3991,1,254.631,215.097,254.684,215.343,0.053,0.246,0.252,2.5778,0.02426
3992,1,256.412,214.259,256.130,214.416,-0.282,0.158,0.323,3.5675,0.03126
3993,1,257.931,213.523,258.038,213.586,0.107,0.064,0.125,4.0441,0.03555
3994,1,262.586,213.753,262.323,214.566,-0.263,0.813,0.855,5.0812,0.04496
3995,1,265.317,216.210,265.861,215.968,0.543,-0.242,0.595,5.5455,0.05009
3996,1,265.464,218.733,265.832,219.351,0.368,0.618,0.719,6.4277,0.05476
3997,1,263.580,217.238,264.032,217.307,0.452,0.068,0.457,7.3106,0.05908
3998,1,261.754,215.773,261.877,215.852,0.124,0.079,0.147,7.9311,0.06161
3999,1,259.369,214.670,259.371,215.179,0.002,0.509,0.509,8.8042,0.06549
4000,1,259.413,211.875,259.637,212.062,0.224,0.187,0.292,9.1348,0.06820
4001,1,260.530,212.684,260.981,212.328,0.451,-0.356,0.574,9.2485,0.06957
4002,1,261.778,212.290,262.339,212.229,0.561,-0.061,0.564,9.3843,0.07101
4003,1,262.475,211.693,263.110,211.412,0.635,-0.281,0.695,9.4553,0.07179
4004,1,262.438,213.465,262.925,214.140,0.488,0.675,0.833,9.7962,0.07327
4005,1,262.624,212.234,263.372,211.927,0.748,-0.307,0.809,9.8147,0.07388
4006,1,264.653,210.610,265.094,210.320,0.441,-0.290,0.528,9.7543,0.07493
4007,1,266.388,211.849,266.653,212.314,0.265,0.465,0.535,9.6695,0.07542
